A00644,正,,喉,
A00645,正,2,嗟,
A00646,正,,嗨,
A00647,正,,嗓,
A00648,正,,嗦,
A00649,正,2,嗎,
A00650,正,,嗜,
A00650-001,,,呩,
A00651,正,,嗇,
A00652,正,,嗑,
A00653,正,,嗣,
A00653-001,,,孠,
A00654,正,,嗤,
A00655,正,,嗯,
A00656,正,,嗚,
A00657,正,,嗡,
A00658,正,,嗅,
A00658-002,,,齅,
A00658-012,附,3,嚊,
A00659,正,,嗆,
A00660,正,,嗥,
A00660-001,,,獆,
A00660-002,,,嘷,
A00660-004,,,獋,
A00660-005,,,噑,
A00660-006,,,獔,
A00661,正,,嗾,
A00662,正,,嘀,
A00662-001,,,唙,
A00663,正,,嘛,
A00664,正,,嘗,
A00664-001,,,甞,
A00665,正,,嗽,
A00665-001,,,瘶,
A00665-004,,1,嗍,
A00666,正,2,嘔,
A00667,正,,嘆,
A00667-003,,2,叹,
A00668,正,,嘉,
A00669,正,,嘍,
A00670,正,,嘎,
A00671,正,,嗷,
A00671-007,,,嗸,
A00672,正,,嘖,
A00672-001,,1,謮,
A00673,正,,嘟,
A00674,正,,嘈,
A00675,正,,嘮,
A00675-001,,,哰,
A00676,正,,嘻,
A00677,正,,嘹,
A00678,正,,嘲,
A00678-001,,,謿,
A00679,正,2,嘿,
A00680,正,2,嘩,
A00681,正,,噓,
A00681-001,,,嘘,
A00682,正,,噎,
A00682-001,,1,饐,
A00683,正,,噗,
A00684,正,,噴,
